original,augmented_1,augmented_2,augmented_3,augmented_4
"stay away shocking outrageous service check wait 10 hours nerve change booking rate high 170 travelling distance arrive singapore stay away hotel misery,  ",""" stay away..."" stays the lowest price it rates and for service the most "" unacceptable"" is not adequate enough. Incredibly bad and poor hotel staff always show a disinterest while the trip must have been planned during one or two months or more before arriving, after we asked for a change, to go for a late check, and then be given the time you lied about to have arrived. They ignored it, even telling us to leave once that we made it. Staff at the hotel were outraged! We were forced to repeat the same exact day and time","stay away shit and misery for the first time in my entire life here are details about my trip. stay away from noisy and obnoxious staff who spend 10 minutes on each and every customer of the venue and that people come from all around the country (regarding reservations). stay away from the ""clean"" facilities as there are no fans, ... Stay away from the ""noisy"" facilities at hotel such as that at Mt zhinjiang international centre.","stay away from swedish stay away and take note: all the places in las vegas look absolutely amazing, but hotel stays are worth it only for how low prices you leave with at hotels worldwide they will put your bank account to shame. go on tour in germany first, there is no igfx in gerlt","hotel awful service, price expensive, check wait over 1 hour for return key card payment, book at worst price, arrive singapore stay away, !!"
"near ueno 15 mins, walk ueno, bit pricey small little old, good location, clean, just main street, kept luggage free days stayed,  ","clean, decent price for the pricey place of course, no fridge to stay cold in the rooms, located near asian street, easy going walk and within 7 to 10 mins from central railway station by bus",in city center hotel at 5 minutes by walking with subway and walking to central - it's as good as expected.,"but because its small and old, prices for other hotel is expensive, so I can not give positive review","close to city center and metro station, clean and in the heart of middle east, pretty quick subway ride - prices were reasonable"
"nice boutique hotel stayed 5 nights, rooms nice clean place pretty, location good central singapore,  ",nice hotel centrally in singapore with good breakfast is rated,nice boutique hotel located central singapore,"nice boutique hotel stayed 5 nights, rooms nice clean place pretty, location good central singapore,","not bad for central area, i love place and price of hotel room. thank you lady"
"pig lipstick wife 15,000 piece jewlry stolen room, staff not helpful rude need say more.i not recommend property, beautiful comes steep cost considering theft.a pig dressed lipstick pig,  ","lip color on staff, lovely staff. Room was big which we used often. Bathroom was huge also.","pig 15,000 piece jewlry, staff not helpful rude, a beautiful comes steep cost considering theft.A big pig dressed lipstick pig","lipstick was stolen, wife worth 15,000 snare earrings, staff not helpful rude and does not show genuine, room looked dirty and lost value","lipstick pig with 15,000 jewelry 2 bed room, but the staff is fuckin rude and mean and is absolutely imbecilic about all these horrible accusations"
"great location hotel ideally located waikiki, walking distance just right street waikiki beach, rooms large kept, breakfast buffet good, plenty shopping right hotel, staff friendly, good choice start trip hawaiian islands,  ","great location , waikiki city and vacation for the family is my favourite","great place to vacation & stay, really good value, beach is right outside hotel, perfect location to beach waikiki close to shopping district & restaurants","great location hotel ideally located waikiki beach, walking distance just right street Waikiki beach, rooms large kept, breakfast buffet good, plenty shopping right hotel, staff friendly, good choice start trip hawaiian islands,","Great location, Excellent quality and location, Near Waikiki Beach, Big TV, Shower is always refilled well. Staff friendly."
"minute urban chic overall disappointing claustraphobic hotel, decor urban chic aveda products nice touch does not make dark viewless rooms 2 couples booked, hauling luggage floors 14 hour flight not expected, staff friendly rooms clean fair,  ",I took only short bite of all that was around in this nice hotel but that is not excuse for less than average facilities and an unsatisfactory ambience. '14 we stayed on the 1st floor as there was only one airconditioner but the aveda products didn't really bring anything to either location. My ancestors had also been living there for many years before I arrive. '14 this is why it has 5 stars because the showers are clean and large though. This hotel offers free breakfast,"minute urban chic overall disappointing claustraphobic hotel that is actually pretty well priced, ambience is very industrial from london strip boutique rooms dark viewless rooms with very little in space sleeps many people even one 's luggage under stairs and hauling off large luggage","minuet urban chic overall disappointing claustrophobic hotel , decor urban chic aveda products nice touch does not make dark viewless rooms 2 couples booked , hauling luggage floors 14 hour flight not expected , staff friendly rooms clean fair,","minute urban chic overall disappointing claustraphobic hotel on , decor urban chic the aveda brand nice touch does not make dark viewless rooms 2 couples booked, hauling luggage floors 14 hour flight is not expected staff friendly clean rooms fair,"
"good place rooms clean nice view backyard, location good near la rambla good comunicate, little noisy day, good place wan na spend days barcelona,  ","very convenient location, helpful & efficient staff, room/rooms extremely clean and good views, in modern district of barcelona with few tourist attraction and is very beautiful...",great location in madrid and beautiful rooms with good cleans and nice view of the pool,"good place rooms clean nice view backyard, location good near la rambla good comunicate","lovely central hotel in barcelona, central location - very easy to locate parking nearby - excellent beach bar and restaurant area - nice outdoor sitting area"
"clean no frills holiday inn express condado area san juan clean comfortable quiet hotel, continental breakfast served no restaurant, recommend hotel one-night stay not,  ","yes, in san juan's clean and comfortable Holiday Inn Express, no extra charge, no parking, buffet with fast food, one morning breakfast available (",hotel is clean or better yes not good no frills not well travelled with noisy crowd at night in downtown in condado (tuvalu) holiday inn express hotel location is okay have one night stay here,"clean , comfortable, quiet; nice area with good food .","clean quiet comfortable and accomodating small central breakfast only restaurant at , but the free parking which we do have is for single person with nmsd"
"cranes close comfort** outside window huge crane close comfort, noise construction directly adjacent hotel slight annoyance, construction seeing large cranes towering hotel directly outside window hotel,  ","loud cranes *** very heavy crane close comfort** right outside the window close calm* (eastern, in general) construction at near neighbour to Hotel hotel construction noise on street, not an interesting sight of crates is actually far  away that you like but and not intrusive","* crane close comfort hotel, construction see cranes towering hotel in construction close from near by hotel (just for window 1) annoyance, buildings are construction almost very nearby.***","close comfort cranes***, noise construction directly adjacent hotel little annoyance, construction seen large cranes Towering right outside window of Hotel?","cranes closer comfortable y close comfort, noise construction directly adjacent hotel slight annoyance, construction seeing large cranes towering hotel indirectly outside window hotel,"
"big resort wife just returned staying week serenis tropical suites, big resort lots european classify star, just little tired getting early chairs beach, food good service dinner excellent, trip dominican republic lots caribbean discover,  ","big resort wife just returned staying week serenis tropical suites, large resort lots European 5 Stars food good service Dinner excellent trip Dominican Republic lots caribbean discover,","big resort wife just returned staying week serenis tropical suites, lots european classify star, just little tired getting early chairs beach, food good service dinner excellent, trip caribbean discover,","big resort wife just returned staying week serenis tropical suites, big resort lots european classify star, just little tired getting early chairs beach, food good service dinner excellent, trip dominican republic lots caribbean discover,","big resort married staying week serenis tropical suites, big resort lots european classified star tyre, just little tired getting early chairs beach seaports buffet, food good service dinner excellent, trip dominican republic a lot caribbean discover,"
"alexander plaza berlin best town, hotel alexander plaza finest hotels know berlin, location service immaculate, rooms delight stay recommand use hotel business pleasure, best bars restaurants corner, great place stay,  ",best bars restaurants city in berlin alexander plaza boutique hotel,"alexander plaza hotel center by corner to the berlin centre taxi service from city center, alexander plaza hotel and casinos german city centre and night life germany california hotels resorts","alexander plaza berlin's greatest hotel , locations impeccable service recommand enjoy rooms restaurant delight a perfect family-like location business pleasure and dining in france","alexander plaza the city _ best place _ berlin german, book alexander plaza  fnibher best hotels in berlin german, hotel bar restaurant city hotel best rooms amusement tourist, excellent area berlin central city, alexander mall hotel, stay in romanov berlin most beautiful british capital"
"lame located far wonderful places florence hotel actually bowling alley, attractively decorated poorly staffed disturbingly poorly maintained new place, ask towels soap experienced plumbing problems, staff not friendly helpful,  ",looong time only were waiting for the room to be filled as did the door was always open even after guests left the party because there has been so much mess just in toiletry shopping halls of each of us,our host and hotel staff were friendly but horrible,disorganized modern day bar with no iodine dispensers and long lines at mardi gras parties,"lame florence location florence distance to all things wonderful florence good breakfast at some places staff great meals but the location was good when visiting here, do not bother you stay !"
"warwick bad good reviews warwick shocks staff quite rude rooms fairly dirty, cut asked bandaid did not, requested bottle opener did not better service,  ","warwick st keen is the place for fun, especially if you go with a large company offering a great vacation experience or for the ones looking for some professional room cleaning. this hotel does not disappoint and will not have guests crying over anything",the company should know what they are doing with these three stars and use some good service,warwick has mediocre reviews and has been described as fairly dirty but a very good service experience,nice location well-kept facilities for the prices i paid good restaurants highly recommended
"rude desk manager place ridiculous, 89.99 hotel smells old dirt customer service rude, hotel not airport reported given room bedbugs room, complained lady did best desk asked speak management rude told nothing change room, nice job bites,  ","negative reviews on hostels from other reviews, staff at most desks are rude manager in hotels there were beds bugging lady in the place didnt get complaint about room cant accept not customer service rude have slammed on property like they dont want to leave","rude desk manager place ridiculous, 89.99 hotel smells old dirt customer service rude, there bed bugs and the hotel not airport reported given , complaining lady has no business be compared her best management to tell me change rooms after I mentioned their awful behaviour was just terrible.","rude bedbugs lady complained was annoyed room were no sheets. hotel looks like dirty small business had a shady business during my return trip. rude nightclub manager where was the line you talked to them would get told you could keep, in my room and what not staff was rude and then called security told you to report anything was a little worse",customer service by employees was very rude which caused the loss of revenue . hotel manager was extremely unhelpful not even acknowledges staff were there are roach who want to live on my budget and do not check in we had 2 room bug plagued with bedbugs - staff wasn't bother to make changes or offer alternative accommodation
"friendly staff family stayed springhill suites husband attended conference, chose hotel based recommendations reviews n't disappointed, easy walk nice room friendly staff, definitely stay,  ","we chose springhill suites due to other user review or recommendation . staff were always friendly and helpful , great central location . great room","family friendly staff. stayed in Springhill Suites with a husband, attended seminar, loved the staff, breakfast superb. price point so no complaints by previous experience. would highly recommend but make sure you get off that room and go another time, thanks for your help","welcoming staff family stayed springhill suites husband attended conference, chose hotel based recommendations reviews n't disappointed, easy walk nice room friendly staff, definitely stay,",hotel in springhill suites with a good view room and staff of around 40 kids
"nice expensive great location short walk main attractions shops, casa fuster beautifully decorated furnished natural tones, room quality better expect major city hotels, nearly 300 euros night bit pricey,  ","nice cost hotel near shopping and financial centres that has all the necessary amenities. the hotel is the casa Fuster, beautifully decorated furnished with natural tones. rooms have bathroom and coffee","nice expensive good location short walk main attractions shops , Casa Fuster beautifully decorated furnished in natural tones, but not quite the standard of higher end hotels","nice nice expensive great location short walk main attractions shops, casa fuster beautifully decorated furnished natural tones, room quality better expect major city hotels, nearly 300 euros night bit pricey",good place decent price centrally located only walking distance the main attractions shops Casa Fuster beautifully decorated furnished natural tones room tnh better in major center hotels rooms can be quite cramped and very small however we arrived fairly early were it full capacity could do with more showering at night
"horrifying, stayed hotel october 2004 not filthy terrible frightening location loud towels stained threadbare place looked like crackhouse, elevators disgusting stairs worse graffiti-bathed walls dirty dirty dirty,  ","horrifying, was afraid to stay october 2004 because there were three naked female in front of me and none talking.... dirty hotel, was not clean... dirtiest one ive ever stayed in, a wet house like interior.... filthy and disgusting location.....","horrifying, stayed hotel october 2004, not filthy terrible frightening location; loud towels stained threadbare place looked like crackhouse, elevators disgusting stairs worse graffiti-bathed walls dirty dirty,","dirty hotel, stayed it september 2009 -- only very poor review. toilet and curtains...","horrifying, did my laundry before arrival at this hotel october 2004 the chowroom was pathetic, as well as my rest area and one corner of some hallways inside were stained badly, there would have been a better one but it wasn t, I remained with half to two feet of white dust on furniture so bad"
"check reviews, check reviews hotel, school vacations price high place, city great 5 yrs, construction awful beach terrible, old san juan great snorkeling trip, rent car explore, weather wonderful enjoyed resort,  ","list of national parks open to the public vacation locations in mexico check reviews, best hotels in georgia check reservations, area nice place where we ate cheap food, very nice time to stay when looking for things to do in santa joan city with cheap hotel, this beach is great for snorkeling and boating, best hotel for beach weekends","pay at local shops, check prices place","find discount tickets, get tour maps, find discount rates, check reviews, resort, hotel, vacation cheap of britain. book school break trip, experience luxury dc during the vacation of your life in florida, he best sand castle at duneh-ig in old san juan has fun city. you ll discover ancient history , learn english and all else that makes travel awesome with this holiday destination","check reviews, hotel rooms, if your school vacation is coming soon ... review cheap cheap san juan city best place if your looking for cost free beach in our world resort get free snorkeling adventure we explore great beach ... budget - san juan california pricey nice ... stay here family resort 'resort' the city"
"good deal location inn close fishermans warf free parking, rooms average motel, clean nothing write home, overall good deal area filled overpriced hotels,  ","good deal hotel , not friendly with elderly as there are no elevators. located on bottom floor away from the smoke and noise. for more money go to another hotel or take up another family of someone you don't know just walk anywhere but will surely hate other peoples room noise .","good deals close to beach, with average prices, at june inn, clean without complaint, big - and fairly affordable pool, free parking","free parking for us, dirty commons, easy walking access from local bar and restaurants, less then ten minute distance to fishing harbour, close to a tram stop","good deal location inn close to the fishermans warf with free parking, rooms average do not rate with very little write away service the rest there was really lacking"
"loved, stayed 5 nights n't fault place, location excellent check easy staff attentive attention second none, recommend jurys boston 100 use hotel return boston future,  ","love this hotel  very, staff are excellent , nice and efficient , breakfast / full course sat , parking is always available .",really lovely room so peaceful and comfy; had hot chocolate and a yummy smoothie from iceberg,they were very friendly and really made us feel welcome at hotel :)- will stay here again.,"loved hotel, location was excellent. breakfast in room were perfect."
"cheap construction floor room great managers lousy room cheap construction hear upstairs neighbor time got bed creak creak creak,  ","cheap construction construction floor bedroom mansion cheap construction hear upstair neighbor time get bed creak creak creak,","my name is christiane the nick name is indiane have you ever heard anyone say "" what're you doin","low ceiling construction downstairs floor apartment flat room , workers are struggling to hire better contractors to meet higher standards of quality","do you have any good stories from a flat or even from a flat? there is something every person in this place has an interest in and they are all getting paid for it. but l just don t hear what them to, since their lives are coming true without them. the reason they sounding bored is that they spent all day at work, working all day at home."
"sick enjoy apparently food posioning bug going resort, people sick, spent time room.the beach beautiful discovery excursion amazing staff unaccomodating, disappointing experience,  ","mending my shoes are very comfortable, cleaning staff was courteous, rooms were nice but we'd had to wait twenty minutes for towels so there wasn't room to change clothes, but no big deal","food sickness hotel experience stayed from one floor of holiday location.food poisoning staff, in the middle of resort complex, staff were bad eating food sick, strechy","resort visit, people, sickness, amazing beach destination for everyone, staff friendly, unaccomodating family, but have a rough memory at times of how bad the food was in germany when there are so much smaller islands","you had to enjoy food Posioning bug going resort, people sick, spent time room.the beach beautiful discovery excursions amazing staff"
"tier hotel great stay place d'armes hotel well-located excellent place stay new orleans, clean well-managed, working group sales manager karla room block march 09 wedding amazing, far best hotel sales rep worked, true pro,  ",ter hôtel in est barges superb and confortable hotel est de brazo,"my three years at the place d 'armes hotel are by far this greatest time spent there. they have given the best care that a hotel should provide. the people working within the hotel are really fabulous. the rest, do not. They could be considered narrators. and will not only give you valuable details about the local tourist attraction and all it has to offer, but will take the interest away from you. If the person selling these rooms might as well be described by another name.","tier luxury hotel in le or, in the new orleans area close to place of worship , room good bathroom, wonderful beds staff also good price range,","hotel great stay place at d'armes hotel, well-located excellent place stay new orleans, clean well-managed, worked with special manager sales"
"not great value like boutique hotels rooms uncomfortably small shelf space toiletries virtually non-existent price/value low, location fabulous staff super, trip book sister hotel street, continentale lungarno, stayed unbeatable,  ",prices are not great and the location very far but with locational amenities just below the top of continente lungarno is one of the most beautiful hotels we have ever been too 'fit like'.,"not great value like boutique hotels; rooms uncomfortable bathroom needs upgrade; restaurant prices low, Staff really friendly location","and not great value, with the price/value being low, rooms are quite cramped, food isn't good, toiletries almost non -existent, the only other thing i can say is okie friendly waitress and great location.","with great value we found a 5 stars and would stay there again but no refrigerator or washer or dryer on first night, large rooms and extremely light and tiny washrooms. I love Italy"
"overpriced got friends family discount room way overpriced, location great walking various places city room tiny, no idea hilton insists making people pay internet access especially room expensive, not particularly impressive,  ",too pricey the internet connection was terrible how can an international traveller make room a little more like a studio hotel in the city??,"cost per room per night had to give down in retoriken overpriced get family discount good for group, located very convenient to some city restaurants free internet not much impressionive rooms expensive","'the room was nice but overpriced , rooms we could rent to friends from the house, they have limited facilities , pricey and small . I wonder if anyone has an idea why the location is bad in city? this is way better alternative than staying in room next door","good rate for the price you pay for your stay and the location very good however, internet was a shame and expensive in areas that require an extra cost for online access"
"gilbert room stayed gilbert overlooks beautiful secluded garden, did n't feel like middle london stone throw away busy king road, service excellent overall staff welcoming friendly, breakfast excellent also.. recommend everybody,  ","3 star family Hotel 5 min from Regent Square, no big hassle just walk away from King road",we got two single rooms and one double room for four people. everything was nice and clean and the staff that came out to the room all were friendly and helpful. also breakfast was ok.. good for visiting the north east side of london,"The hotel room is large, bright, free wifi and the room and desk area is large as well. There seems to be a shortage of desk chair if needed when reading books at the desk (if anyone was here with us). All the other staffs were polite and attentive while the guests were not forced to buy everything around him due to being behind in time in their work place. No complaints for the staff we used.",i think we have used this hotel four times now and everything has been very good
"hotel room small not great view, parking ramp blocks away vehicle 30 extra park ramp addition regular hotel booking, san francisco not really sure, area really nice hotel employees helpful telling town,  ","a a city with lots of hotels, hotels for summer holidays, cheap holiday apartments for more than 10,000 eur","room not big, parking very bad, restaurant and bar just walk distance, parking more helpful in tourist spot on highways close together !","hotel room small not great view, parking ramp blocks away vehicle 30 extra park ramp addition regular hotel booking","apartment hotel hotel, room small, parking blocks away."
"great hotel great hotel rooms nice big plasma screen nice sights window, door people staff friendly helpful great taxi service outside hotel nice little shops restaurants not far away hotel,  ","Great Hotels, Room in hotel room, View, Staff friendly.","great restaurant nice hotel staff friendly , nice views front window great lobby restaurant wonderful nice shop pleasant place very well located taxi on car and at night hotel, with","great hotel great hotel rooms nice big plasma screen nice sights window, door people the staff friendly helpful great taxi service outside hotel nice little shops restaurants not far away hotel , nice deluxe motels","great hotel good clean hotel lovely rooms nice big plasma screen Nice sights window, door people staff friendly helpful best taxi service around outside"
"okay difficult hotel people lives dont know, street hotel not nice like picture.the room okey clean tiny nice bathroom walls listen think isn t close main places not walking lost, location problem traveling group maybe wouldn t,  ","i've had bad breakfast the hotel could be better maybe in summer they will eat not all the time, probably when its hot i think they should ask where they go",although we had an amazing holiday no food was all the people you would imagine and hardly someone that could cook,okay difficult hotel but not like living there! street hotel cant know where everything goes this doesn't matter I have to check in,only suited for those travelling and are comfortable...would say not a 5 star rating
"rooms, day kowloon hotel wondering possibile room hotel room, not fat space exactly me.ok room hkg small small concierge service good location ok kowloon nad nathan road.considering paied say hotel everage quality return able good price not,  ","on a small budget, can afford but would like something really nice. room is tiny but small bathroom, though, that means that sash window in main... good service... will definitely return","bathrooms no, bad and dirty room hotel rooms","room day kowloon hotel wondering possibile room hotel room, not fat space exactly me.ok room hkg, small small service good location ok kowloon north or a Nathan road be",hngsi
"good business great kowloon location good business hotel rooms bit dated maintained think best managed hotels hong kong, club lounge good charge heavily privilege, area bit weak pool relaxation area, business hotel,  ","good value, centrally located good for business with nice location close to central kent, clean well designed luxury room for the price, swimming pool nice place to relax outside, great business hotel","business, hotel, accommodation, accommodation, luxury hotels, luxury service, luxury resorts, boutique style hotel, corporate hotels, centrally located, large garden.","good business great koploon location good business hotel rooms bit dated maintained think best managed hotels hong kong, club lounge good charge heavily privilege, area bit weak pool relaxation area, business hotel",good business hotel ' great service ' moderate stag but well-equipped
"nice generally nice staff helpful friendly parking noise problem, 56/day coupon book hotel good deal,  ","nice for budget stays here with welcoming hosts and easy access, 28/day discount coupons are available for 56-minute stays",guest rating for hotel 56,nice generally friendly helpful supportive parking noise problem hotel good deal coupon,"nice breakfast, rooms nice rooms, friendly staff, room rates good. cheap."
"great time wow, great week, friendly staff great food great beach pool, really got relax felt ready world, resort need,  ","the water at your resort, beach can make you feel that as comfortable as if you were in paradise, you could be so excited about vacation , and of course , you could only go by , you would never get bored during one of the best weeks of your life. or it's not enough just taking up the life and rest... or even getting from home to work once in a while ...","holiday resort, swimming pool, great beach","great beach, very friendly people in the staff, friendly on pool and beach","wonderful time great swimming, the staff has beautiful atmosphere great foods good restaurant pools, will be visit again like in any other one need,"
"n't pay 59/night, pay, paid 59/night place worth, moved times 2 rooms smelled mold, small rooms, dirty, staff nice hotel convenient d day museum street car, cool bar,  ",bar not uk - value good price range one and a half stars will definitely return,"get to stay at place worth?, where I stayed, dirty bathroom, and really stinking up one of the rooms 4 stars only way!","value was better, hotel needs tlats of love, but stay worth it, poor location, poor room quality or food, one star is better than nothing, dirty",you need to check the price here before booking and choose something that seems reasonable i stayed in bar we saw a live band there from 4pm to 6am very nice bar and the owners took good care of us and got everything done was welwed great
"not return disappointed stay, felt good internet rate received provided substandard room, think good internet rate introductory rate not reflection type location cleanliness room, wont details left comments desk email return,  ",unsure about the authenticity of internet rate which proved bad value received for the internet but ideally was well served,"do n't think pleased staff in which the hotel room was small and was in poor sanitation, and good public house close to town , also the remark of some people at dinner with alcohol were very negative i went for breakfast.","not return disappointed stay, felt good internet rate received provided substandard room, think nice introductory price hotel service cleanliness room, will not details left comments desk email return, only",could care less if a guest feels that an issue with access to the internet isn’t worth it ” did experience a couple of problems just when everything looked good in terms of the rooms and what the wifi required.
"great location shabby rooms hotel great location rooms extremely dated use modern decoration, communal areas nice pools good, drinks piano bar expensive got drink lobby cheaper reason,  ",great location shabby rooms hotel at a pretty reasonable price,"terrible shabby room extremely dated decor, lobby bar pub but more comfortable.great cause,","shabby rooms hotel great location rooms extremely dated use modern decoration, communal areas nice pools good, drinks piano bar expensive was if you buy lobby cheaper reason,","great room of hostel rooms the shabby rooms the bar have dated sharable pool, beautiful staff and location there was a bargain if you were interested in new hotels near the metro"
"not 3 star maybe 1 star say location wise good hotel wise terrible, plus free water beer breakfast negative run rooms terrible plastic furniture bed rock solid rooms smell rooms hallways awful.would not recommend,  ",very nasty room no shower no AC running extremely noisy staff very rude,"not 1 star say good location but food is average and breakfast - not worth another 2 days.very cold throughout day.the beds made me have bad pain though,alittle harder in the nights.they charged $15.00 (normal bill) for parking."," not 3 star maybe 1 star say location wise good hotel wise terrible, plus free water beer breakfast negative run rooms terrible plastic furniture bed rock solid rooms smell rooms hallways awful.would not recommend,  not 3 star maybe 1 star say location wise good hotel wise terrible, plus free water beer breakfast negative run rooms terrible plastic furniture bed rock solid rooms smell rooms hallways awful.would not recommend,  not 3 star maybe 1 star say location wise good hotel wise terrible",have to say location is very good and location is super central but I could see a problem as it has long gone of yo-yo hotels for 2 or 3 star stay please not 3 star at this site even slightly
"gone downhill bit hotel nice declined stay 2006. obvious example plastic-wrapped plastic cups bathrooms compared glasses, service good convenient location good choice downtown,  ","been downhill bit hotel nice declined stay 2006. obvious example plastic-wrapped plastic cups bathrooms compared glasses, service good convenient location good choice downtown",the apartment is just okay but was quite cramped : two different furniture,"been downhill a couple, went down hill bit very, nice hotel had little improvement though, was decent with convenient downtown access, the plastic bathroom glasses, service very good although some dishes were small or smelled, but good to stay in !","gone downhill , hotel nice, customer service staffs are poorly trained for the type of business they do , location to some shops poor food but it is not good for big spend in the place just a one star far enough from this"
"typival hyatt hotel not expect form hyatt hotel clean nice staff good pool decent not luxurious accomodation, recommend good rate,  ",not typivil of how to feel hotel we could be better at hyatt river centre and even though its nice staff good pool...,"typeival hyatt hotel not expected form hyatt hotel cleaning nice staff good pool decent not luxurious accomodation, recommend good rate,",nice staff but recommandaaed stay at hyatt hotel  not spectacular,"typival moses rhodes hotel not expect form hyatt hotel clean nice staff good pool decent not luxurious accomodation recommend good rate, hjbeams by starbucks restaurant dew point restaurant"
"not good reviews best hotel location, close circular quay rocks bridge opera house, did n't staff friendly n't dressed suit, food available hotel buffett style breakfast 32.00 bad, eat, deluxe opera view room good view sydney opera house,  ","not good reviews best hotel proximity to quay rocks bridge opera house, not friendly people food availability hotel buffett style breakfast 32.00 bad",not good reviews. and expensive location close to opera house cannot hear noise during opera. staff are rude and too busy.,"not good reviews. best hotel location, close circle quay rocks bridge opera house, did n't staff friendly n't dressed suit, food available hotel buffett style breakfast 32.00 bad, in neat, deluxe opera view room good view sydney opera house, not good reviews.","ratings not great, however a pretty decent average hotel near circle cay opera house, good food, good accommodation with an appreciable view, room service was poor breakfast and rude staff, good location"
"best deal hong kong 89 paid ca n't imagine better deal hong kong, room small fine couple, decor tasteful clean, convenient location, strange staff uniforms looked liked 80 wedding band,  ","best deal shanghai 88 paid we was staying at the hotel for short term in hong kong ! ... a single room , great breakfast size 4 couple for 1 stay, everything you need was within walking distance like hong kong airport, very easy to locate location","great central locations, great hotel deal. not as if you have to find somewhere like the top resort. 89 rupees more for the smaller hotel, rather than better value which had a much bigger and nicer room too","best deal hong kong, ca n't imagine better deal hong kong, room small fine couple, decor tasteful clean, convenient location, strange staff uniforms looked liked 80 wedding band,","best deal london 65, room to let, big bed comfortable bathroom and decent facilities"
"nice hotel perfect location recommend great hotel perfect location, noise street ok did n't lose sleep, design aspect rooms nice little details worth checking, hotel personnel young knowledgable helpful, definitely come,  ","not a pleasant tday, not great location","nice hotel , it feels good but l got noise street ok you need an alarm clock please aint bored ,the design aspect was good the rooms especially the mini bar was nice with lots of space .we loved our view on the road towards prague and my friends found the decor tasteful for such a small place .","nice hotel perfect location recommend great hotel perfect location, noise street ok did n't lose sleep, design aspect rooms nice little details worth checking, hotel personnel young knowledgable helpful, definitely come,",do some searching and come here a while next summer - cheap prices - staff is friendly and helpful. This beautiful country style hotel was great as we were moving during that time of the year.
"not good aware not 4 star hotel, stayed week disappointed up-grade better room seen calling 4 star room,  ","not 4 star hotel, stayed week frustrated up-grade better room seen calling 4 star room, the best europe",can 't say much its less at 3 5 not 4 1 not 4 star beacuse only i wanted to make 2 extra euro to pay extra for other breakfasts in hotel. is not good.,not good hotel was afraid of 4 star as i get 3 ...,4 star hotel only 5 rooms or not 4 stars on account .... can some day we upgrade?
"best hotel ubud brilliant hotel, swimming pool amazing service perfect view amazing enjoy, 1 tip book restaurant mozaique good gastronomic,  ","best izhet ubud, swimming pool amazing service",free wifi swimming pools is amazing hotels located at middle east central ubud for people traveling and vacationing like a professional and cheap prices,"wonderful ubud brilliant hotel swimming pool amazing service good view perfect enjoy, 1 tip book restaurant mozaique good gastronomic,","well priced new hotel in gurukulam, all modernized, clean with beautiful and helpful, good bbq lunch special, 2 pool games, many facilities"
"cramped cute really cute nice new remodel rooms tiny, thought cruise ship, open getting new bartender everyday close bartender felt like, worst beds awful, 23 years old woken morning hunched grabbing pain,  ",cramped nice new remodel rooms tiny tasmania resort hotel moth room cabin very,"the only thing in our hotel room that made you complain would be the lack of a decent beds, but the room was awful and so cramped that we were forced to lay in our seat a long time before being heard from.","Crashy tiny rooms with the bed comfy all the way around, only 1 bathroom with not much space between the curtains, but had to pull a suitcase to a sink right there due to tiny cabin that's made up from tiny, 34"" walls and the hottest, most expensive kitchenware, just barely enough furniture for everyone.",i thought would really comfortable bed with an ample wardrobe.
"great location fantastic location rooms clean simple not looking luxury.staff friendly helpful perfect location central easy walk sites 10 mins walk train station santa maria novella ideal base enjoyable days florence,  ",excellent location in the center of one of the oldest centres of romania at 10 minutes walk from train station and santa maria novella and close to sites thost le grand quartier c restrna roman.,"Hotel Rooms are clean and rooms but are small .Staff not so helpful.Terrific location, next to The Palazzo Comunauriere and Florence Cathedral.Close to the motorway and 1 minute walk from train station.Not good if looking for air condition room",very good location and very comfortable for a budget oe hotel with no amenities at such good cost in the place,"great location fantastic location.rooms clean, simply not looking luxury.staff friendly, helpful , perfect location central easy walk stations 10 mins walk train station santa maria novella ideal base enjoying days florence,"
"stay away hotel quite good location horribly dirty, wanted leave immediately not alternative accomodation new year eve period.stay away choose better hotel,  ","stay away hotel rather good location slightly messy had to leave hotel abruptly at evening ... dirty ( but not all our complaints with us) will not stay there anymore, even compared to a new and better hotel this !!!","stay away hotel. although the price wasnt bad it wasnt worth going in and making room ,there are always some cheap hotels nearby that also don't worth the time .hotel was not convenient by public : you used car to walk from the site but i still saw quite dirty things which cost me around 80 $ for this day and night without having any help even though staff seemed polite ,","stay away hotel very good but its super dirty ,very unpleasant choose to stay somewhere else","stop arguing: hooray, the night can proceed as normal without any problem'"
"nice way close doumo clean personable service good breakfast firm beds air conditioning, really enjoyed stay, modest hotel great service,  ","good food, great buffet service was a plus when ever i was looking for a change of clothes or in a fancy hotel","nice way close doumo clean personable service good breakfast firm beds air conditioning, really enjoyed stay, modest hotel great service","nice way close doumo clean personable service good breakfast firm beds air conditioning, really enjoyed stay, modest hotel great service,","really enjoyed stay by simple minimalist hotel in faro city with good service, clean place, good breakfast, clean room, free internet Wi-Fi"
"good hotel poor location 1-the hotel good rooms smoky2-the location far center3-the surroundings not best careful,  ","1-the hotel good rooms smoky-the location far center3-the surroundings not best - careful,","the hotel offers very good prices for this country with very good conditions, great location in the metro stations ( 150 steps away)","hotel : pretty nice place in slumbering, the price c a l for its value is very reasonable which i expected since i have worked in the area for about 13 years","clean and quiet, good location"
